country,field_name,avg_fcr,publication_count
Kenya,Built Environment and Design,2.0116129032258065,31
Egypt,"Agricultural, Veterinary and Food Sciences",4.183888888888891,468
Bangladesh,Information and Computing Sciences,7.1767223769730739,1077
Qatar,Information and Computing Sciences,14.696905829596419,223
Germany,Philosophy and Religious Studies,9.2800000000000029,481
Argentina,Human Society,1.6915985130111513,538
Germany,Environmental Sciences,5.3646666666666682,375
Italy,Biological Sciences,5.13870615744349,3849
United Arab Emirates,Information and Computing Sciences,11.087779479326189,653
Hungary,Biomedical and Clinical Sciences,5.5040415019762792,1012
Jordan,Biological Sciences,4.5349999999999993,88
Argentina,Law and Legal Studies,2.7787837837837839,74
Malaysia,Built Environment and Design,4.47549568965517,464
Turkey,Chemical Sciences,3.3216923076923082,650
Switzerland,Engineering,4.6441201716738192,233
Japan,Education,2.7701969365426691,914
Rwanda,Physical Sciences,10.7,1
Rwanda,Philosophy and Religious Studies,3.65,2
Finland,Economics,6.6424761904761906,105
Egypt,Chemical Sciences,4.305636363636359,825
India,Built Environment and Design,4.552408163265306,980
Canada,Economics,4.9449228130360181,583
United Arab Emirates,Biomedical and Clinical Sciences,4.8642658875091316,1369
South Africa,Creative Arts and Writing,4.0105312499999979,320
Greece,Built Environment and Design,6.4742682926829263,246
South Korea,Human Society,5.7797353760445649,718
Cyprus,"History, Heritage and Archaeology",2.2012500000000004,8
Sudan,Built Environment and Design,0.986,5
United Kingdom,Creative Arts and Writing,6.4878269720101756,1965
Morocco,Engineering,4.3310859728506763,221
Iran,"Agricultural, Veterinary and Food Sciences",4.9119718309859168,426
Russia,"Language, Communication and Culture",2.9064898989898995,396
New Zealand,"Language, Communication and Culture",7.776642857142857,140
Nepal,Biomedical and Clinical Sciences,2.2552719665271956,1195
Slovenia,Biomedical and Clinical Sciences,5.287916666666673,504
India,"History, Heritage and Archaeology",4.0179130434782619,115
Turkey,"Agricultural, Veterinary and Food Sciences",3.7884246575342435,584
Netherlands,Information and Computing Sciences,8.94588615782665,773
Uganda,Biomedical and Clinical Sciences,4.0368421052631618,741
Czechia,"Commerce, Management, Tourism and Services",5.6210756302520934,595
Finland,Biomedical and Clinical Sciences,6.1457773851590094,1132
Peru,Information and Computing Sciences,2.2367477203647419,329
Kyrgyzstan,Human Society,4.2737931034482761,29
Thailand,Education,5.3206060606060586,429
Norway,Information and Computing Sciences,7.7522792607802895,487
Spain,Engineering,4.2857338709677464,1240
Brazil,"Agricultural, Veterinary and Food Sciences",3.3909165154264955,1102
Ethiopia,"Commerce, Management, Tourism and Services",7.1559405940594045,101
Iraq,Health Sciences,3.711767676767677,198
Colombia,"Commerce, Management, Tourism and Services",3.5376353790613724,554
Tunisia,Information and Computing Sciences,6.495177514792899,338
Czechia,Biological Sciences,5.4385100286532948,349
China,Mathematical Sciences,7.045764993880046,1634
Malaysia,Human Society,5.6089712556732225,661
Peru,Law and Legal Studies,2.9958426966292144,89
Poland,Philosophy and Religious Studies,7.4741846153846154,325
Greece,Biological Sciences,4.7215514018691609,535
Jordan,Economics,15.728307692307693,65
Indonesia,Psychology,1.38002331002331,429
United States,Law and Legal Studies,7.4003762935089288,2126
Mexico,Biological Sciences,3.3434733257661788,881
Turkey,Human Society,5.0723588039867185,903
Sri Lanka,Health Sciences,3.8903846153846149,208
Kazakhstan,"Language, Communication and Culture",4.2104878048780474,41
Serbia,Information and Computing Sciences,6.2370422535211265,213
South Africa,Built Environment and Design,4.1008490566037734,318
Tanzania,Biomedical and Clinical Sciences,4.2277227722772261,303
Sweden,Education,8.99532751091703,458
Netherlands,Philosophy and Religious Studies,12.680328467153288,274
Algeria,Biological Sciences,2.9798684210526325,76
Thailand,Philosophy and Religious Studies,3.9252000000000007,25
Czechia,Information and Computing Sciences,8.4263070539419047,241
Poland,Built Environment and Design,5.0724424778761072,565
Taiwan,Built Environment and Design,4.7461146496815312,157
France,Creative Arts and Writing,5.7553140096618352,207
Japan,Human Society,4.05906956521739,1150
Iran,"Language, Communication and Culture",13.1909,100
Moldova,"Commerce, Management, Tourism and Services",2.757894736842105,19
Saudi Arabia,Law and Legal Studies,6.4648148148148152,27
China,Physical Sciences,6.7412984496124029,516
Serbia,"Agricultural, Veterinary and Food Sciences",4.745384615384614,78
Austria,Law and Legal Studies,8.7363636363636346,88
Qatar,Biological Sciences,3.9772392638036793,163
Kenya,Law and Legal Studies,5.0200000000000005,25
Sri Lanka,Chemical Sciences,2.5577777777777779,9
Croatia,Education,6.1256140350877208,171
Czechia,Biomedical and Clinical Sciences,6.6441281512605039,952
Kenya,Health Sciences,4.402207207207212,444
Thailand,Earth Sciences,3.1911023622047257,127
Bangladesh,Biological Sciences,3.3889257503949466,633
Portugal,Built Environment and Design,4.9856282722513079,382
Croatia,Health Sciences,4.5367539267015715,191
Pakistan,Mathematical Sciences,10.457890624999996,256
Nicaragua,Education,0.85880952380952391,42
Tunisia,Engineering,3.5085599999999997,125
Iran,Earth Sciences,3.8564062500000014,320
Vietnam,"Commerce, Management, Tourism and Services",8.2013458646616648,1330
Finland,Creative Arts and Writing,8.8952941176470581,153
Estonia,Chemical Sciences,5.8084615384615379,26
Kuwait,Psychology,6.4736363636363636,22
Thailand,Built Environment and Design,4.6995689655172423,116
Indonesia,Creative Arts and Writing,2.8751024972046229,2683
Latvia,Information and Computing Sciences,4.895964912280701,57
Fiji,"Commerce, Management, Tourism and Services",7.1971232876712339,73
Kazakhstan,Economics,7.2046575342465733,73
Senegal,Biomedical and Clinical Sciences,2.59352564102564,156
Peru,Engineering,1.5118633540372668,161
Singapore,"Agricultural, Veterinary and Food Sciences",5.2560526315789478,76
Sweden,Information and Computing Sciences,7.0222817460317479,504
Denmark,Creative Arts and Writing,6.8359124087591239,137
New Zealand,Human Society,6.4286298932384316,562
France,"History, Heritage and Archaeology",4.2379310344827577,87
Sri Lanka,Built Environment and Design,2.2191304347826084,92
France,Psychology,6.2004500000000027,400
United Arab Emirates,Education,9.4948724489795975,392
Portugal,"Language, Communication and Culture",6.13360655737705,122
Mexico,Engineering,4.0700000000000038,463
Greece,Psychology,7.4590419161676635,167
Serbia,Philosophy and Religious Studies,4.9483870967741943,31
Philippines,Psychology,3.8199019607843141,102
Lithuania,Education,4.624,120
Malaysia,Chemical Sciences,3.349885057471266,261
Mexico,"Agricultural, Veterinary and Food Sciences",4.5008620689655219,290
Montenegro,Health Sciences,2.6549999999999994,14
Kenya,Environmental Sciences,4.2503773584905664,53
Netherlands,Mathematical Sciences,5.2707692307692326,65
Hungary,Chemical Sciences,2.712380952380951,84
Iraq,"Agricultural, Veterinary and Food Sciences",1.8623611111111111,144
Iran,Built Environment and Design,8.41362637362637,273
New Zealand,Education,7.2789648033126282,483
Kosovo,Health Sciences,5.5409523809523806,21
Israel,"Language, Communication and Culture",8.7385393258426962,89
Singapore,Human Society,8.4237164750957838,522
Netherlands,Chemical Sciences,5.2661783439490453,157
South Africa,Mathematical Sciences,7.3928571428571406,77
Philippines,"Agricultural, Veterinary and Food Sciences",2.057256637168142,113
Serbia,"Commerce, Management, Tourism and Services",5.8209876543209891,324
Argentina,Psychology,3.6902803738317758,107
Ghana,Health Sciences,4.2901061571125272,471
Czechia,Education,4.3662765957446856,188
New Zealand,Information and Computing Sciences,6.101035856573704,251
Jordan,Creative Arts and Writing,12.942,25
Ireland,Economics,4.975592105263158,152
Malaysia,Economics,10.002923076923071,390
Oman,Economics,17.326756756756751,37
Mexico,Economics,2.7015853658536582,164
Denmark,Economics,7.7761538461538464,156
Liechtenstein,Biomedical and Clinical Sciences,6.2563333333333331,30
Greece,Human Society,6.0043854748603351,358
Brazil,"History, Heritage and Archaeology",1.6784549356223175,233
Algeria,Information and Computing Sciences,6.1344904458598721,314
Morocco,Earth Sciences,3.3388172043010749,93
Japan,Environmental Sciences,3.4393775933609962,241
Romania,Education,9.1048924731182819,372
Morocco,"Commerce, Management, Tourism and Services",8.21263586956521,368
Malawi,Biomedical and Clinical Sciences,4.0905747126436767,174
Saudi Arabia,Built Environment and Design,8.0520370370370369,216
Ethiopia,Human Society,7.6950273224043686,183
Hungary,Environmental Sciences,6.0358333333333345,36
Slovenia,Information and Computing Sciences,11.408181818181822,132
Tanzania,Health Sciences,3.2973076923076921,156
Guatemala,Biomedical and Clinical Sciences,3.7950793650793666,63
Portugal,Philosophy and Religious Studies,9.2888311688311713,77
Germany,Built Environment and Design,5.4043046357615889,755
Slovenia,Engineering,4.0492622950819674,122
Democratic Republic of the Congo,Biological Sciences,2.2151724137931033,29
Slovakia,Mathematical Sciences,6.45,8
Argentina,Information and Computing Sciences,2.2775652173913041,115
Morocco,Chemical Sciences,4.0364062500000006,128
Luxembourg,Law and Legal Studies,32.458666666666666,30
Ivory Coast,Economics,4.7488888888888887,9
South Africa,Environmental Sciences,5.2462857142857153,245
Netherlands,Engineering,5.90750656167979,381
New Zealand,Biological Sciences,4.6517164179104507,268
Nigeria,Earth Sciences,3.0211180124223618,161
Bahrain,"Language, Communication and Culture",8.7966666666666669,6
Austria,Earth Sciences,5.0338095238095253,105
Cyprus,Built Environment and Design,4.5271428571428576,49
Estonia,Environmental Sciences,7.3258333333333336,12
Belgium,Physical Sciences,26.212727272727278,22
Cyprus,Engineering,8.2059722222222238,72
Sweden,Creative Arts and Writing,8.335756097560969,205
Rwanda,Biological Sciences,5.5654545454545454,22
Ethiopia,Economics,3.5963829787234047,47
Bulgaria,Built Environment and Design,1.6616000000000004,25
Serbia,Human Society,4.3205882352941174,153
Costa Rica,Earth Sciences,1.8242857142857143,14
Pakistan,Built Environment and Design,10.887870370370369,108
Romania,"Language, Communication and Culture",6.168333333333333,84
Taiwan,Creative Arts and Writing,5.8359493670886078,79
Sri Lanka,"Language, Communication and Culture",1.7052380952380952,21
Colombia,Chemical Sciences,3.312093023255815,86
Kosovo,Chemical Sciences,0.18,1
Bangladesh,Earth Sciences,3.3819831223628691,237
Hungary,Creative Arts and Writing,6.775862068965516,58
Uzbekistan,Creative Arts and Writing,3.9560000000000004,10
Netherlands,"Language, Communication and Culture",11.61389140271493,221
Monaco,"Commerce, Management, Tourism and Services",9.98846153846154,13
Romania,Mathematical Sciences,7.8912765957446815,47
Iraq,Physical Sciences,8.526,20
El Salvador,Biomedical and Clinical Sciences,1.6421818181818186,55
Iceland,"Language, Communication and Culture",1.2383333333333328,6
Kuwait,Biological Sciences,4.4122950819672146,61
Panama,Education,2.954375,16
Mauritius,"Commerce, Management, Tourism and Services",5.6047916666666655,48
Sudan,Health Sciences,3.3472527472527478,91
Bangladesh,Economics,9.1186559139785,186
Iran,Mathematical Sciences,8.3495256916996041,253
Antigua and Barbuda,Education,8.145,2
Singapore,Creative Arts and Writing,6.6179646017699136,113
Greece,"History, Heritage and Archaeology",11.293676470588236,68
Armenia,Biomedical and Clinical Sciences,2.0348039215686269,102
Bangladesh,"Language, Communication and Culture",7.1282608695652163,46
Singapore,Psychology,5.495952380952378,168
United Arab Emirates,Economics,9.7093430656934316,137
Latvia,Health Sciences,2.5856603773584905,53
Croatia,Economics,3.1214285714285714,91
Hungary,Earth Sciences,2.9928070175438606,57
Ghana,Built Environment and Design,4.6203749999999992,80
Tunisia,Earth Sciences,3.016969696969698,33
Slovenia,Built Environment and Design,4.7988000000000008,50
Jordan,Built Environment and Design,6.1659016393442627,61
Cabo Verde,Creative Arts and Writing,1.15,1
Romania,Environmental Sciences,3.26,86
El Salvador,Biological Sciences,0.44888888888888889,9
Namibia,Health Sciences,3.5162000000000009,50
Faroe Islands,Information and Computing Sciences,10.16,2
Peru,Environmental Sciences,7.5256896551724122,58
Qatar,Engineering,5.6812195121951206,123
Lithuania,Biological Sciences,4.8460869565217388,69
Malaysia,"Agricultural, Veterinary and Food Sciences",5.2158858858858865,333
Jordan,"Language, Communication and Culture",8.4018518518518519,54
Denmark,Earth Sciences,7.661190476190475,42
Saudi Arabia,"Language, Communication and Culture",10.757912087912089,91
Costa Rica,Chemical Sciences,0.885,4
Myanmar,Health Sciences,2.66951219512195,41
Georgia,Philosophy and Religious Studies,2.7616666666666667,6
Iran,"History, Heritage and Archaeology",6.83,5
Bosnia and Herzegovina,Information and Computing Sciences,3.8577049180327867,61
Singapore,Environmental Sciences,8.4931506849315035,73
Iran,Education,9.7025813449023861,461
Vietnam,Law and Legal Studies,15.196808510638297,47
Sweden,Environmental Sciences,7.5604081632653086,147
Serbia and Montenegro,Human Society,8.22,1
Kenya,Engineering,6.26107142857143,28
Samoa,Human Society,7.7000000000000011,3
Venezuela,Information and Computing Sciences,1.0186666666666666,15
Morocco,Health Sciences,3.4943971631205684,141
Slovakia,Psychology,7.4713043478260888,46
Romania,"Agricultural, Veterinary and Food Sciences",5.7191891891891879,148
Argentina,Creative Arts and Writing,1.8729411764705888,136
Haiti,Health Sciences,4.668125,16
Sierra Leone,Human Society,10.87125,16
Estonia,"Language, Communication and Culture",7.3367857142857176,28
Kosovo,Law and Legal Studies,1.453,10
Malta,Health Sciences,2.7827450980392161,102
Antigua and Barbuda,Biomedical and Clinical Sciences,2.5047826086956522,23
Bangladesh,Psychology,6.7490163934426244,61
Cuba,Biomedical and Clinical Sciences,3.4999363057324842,157
Ghana,"Agricultural, Veterinary and Food Sciences",3.5828089887640444,89
Slovenia,Health Sciences,3.942920792079208,202
Kyrgyzstan,Earth Sciences,1.28,11
Tajikistan,Biomedical and Clinical Sciences,1.7322727272727276,22
Kenya,Philosophy and Religious Studies,3.9071428571428575,14
Iceland,Earth Sciences,2.8272727272727272,11
Lithuania,Chemical Sciences,4.3174285714285707,35
Kosovo,Education,4.5603571428571437,28
Czechia,Chemical Sciences,4.2083625730994134,171
Guadeloupe,Biomedical and Clinical Sciences,4.0152941176470582,34
Malaysia,"History, Heritage and Archaeology",5.6077777777777786,45
Luxembourg,Education,7.024285714285714,35
North Macedonia,Engineering,2.42,10
Colombia,"Agricultural, Veterinary and Food Sciences",3.9000000000000004,113
Greece,Creative Arts and Writing,16.816846846846854,111
Singapore,"Language, Communication and Culture",9.700746268656717,134
Curacao,Biomedical and Clinical Sciences,2.7759375,32
Fiji,Human Society,2.348,15
Yemen,Information and Computing Sciences,9.5802325581395351,86
Mali,Health Sciences,4.3751612903225805,31
Saudi Arabia,Philosophy and Religious Studies,13.433888888888887,18
Belarus,Information and Computing Sciences,0.85789473684210515,19
Madagascar,Biomedical and Clinical Sciences,2.3748333333333331,60
Sri Lanka,Environmental Sciences,3.1785185185185183,54
Bangladesh,Creative Arts and Writing,5.8768604651162777,86
Egypt,Built Environment and Design,6.9750884955752248,226
Bulgaria,"Language, Communication and Culture",3.3093333333333335,15
Kosovo,Biomedical and Clinical Sciences,2.4667307692307685,52
Switzerland,Creative Arts and Writing,14.967251908396943,131
Philippines,Environmental Sciences,2.9195714285714289,70
Estonia,Education,9.9097468354430358,79
Dominica,Biomedical and Clinical Sciences,5.9171428571428573,14
Luxembourg,Engineering,7.846,20
Qatar,Philosophy and Religious Studies,25.352142857142859,14
Ivory Coast,Human Society,9.4025,28
Lithuania,Built Environment and Design,3.8649999999999998,58
Botswana,Health Sciences,3.6521276595744685,47
Bulgaria,Education,2.8069230769230766,104
Bahamas,Biomedical and Clinical Sciences,2.0245454545454544,11
Cameroon,Environmental Sciences,3.830952380952382,21
Tunisia,Mathematical Sciences,4.1666666666666661,15
United Arab Emirates,Creative Arts and Writing,18.222957746478876,71
Bangladesh,Physical Sciences,7.7221052631578964,19
Zimbabwe,Law and Legal Studies,3.0308333333333337,12
Uganda,Economics,4.6988,25
Lebanon,Information and Computing Sciences,8.4446218487394944,119
Pakistan,Environmental Sciences,5.6859055118110282,127
Argentina,Mathematical Sciences,6.1085714285714294,14
Cyprus,Psychology,5.6747727272727273,44
Lithuania,Human Society,6.2325324675324705,154
Ghana,"History, Heritage and Archaeology",0.675,2
Eswatini,Economics,0.0,2
Zimbabwe,Biological Sciences,4.3617857142857153,28
Belgium,Economics,6.95076923076923,208
Malawi,Psychology,1.44,2
Cyprus,"Language, Communication and Culture",8.2146875,32
Romania,Physical Sciences,7.6018181818181816,11
Eswatini,Creative Arts and Writing,2.6800000000000006,5
Uganda,Education,5.4223999999999988,75
Gambia,"Language, Communication and Culture",28.63,1
Russia,Physical Sciences,3.5368674698795188,83
South Sudan,Biomedical and Clinical Sciences,1.882222222222222,18
Norway,Philosophy and Religious Studies,11.259753086419753,81
Jamaica,Health Sciences,4.2726829268292681,41
Myanmar,Human Society,13.761111111111113,9
Andorra,Education,0.0,3
Norway,Law and Legal Studies,9.2960000000000012,80
Barbados,"Commerce, Management, Tourism and Services",1.005714285714286,14
Saint Martin,Biomedical and Clinical Sciences,10.940000000000003,8
Qatar,Education,22.303369565217391,92
Curacao,Health Sciences,2.1914285714285708,7
Tanzania,Chemical Sciences,1.4118181818181816,11
Qatar,Chemical Sciences,8.5933333333333355,18
Luxembourg,Information and Computing Sciences,5.78483870967742,62
Uganda,Environmental Sciences,2.8645833333333335,24
Honduras,"Commerce, Management, Tourism and Services",0.97749999999999992,16
Cameroon,Engineering,6.2295999999999987,25
Anguilla,Biological Sciences,1.375,2
Libya,Engineering,5.4723076923076928,13
Luxembourg,Environmental Sciences,6.5416666666666661,6
Eswatini,Biomedical and Clinical Sciences,6.3143999999999982,25
Ghana,Earth Sciences,3.868666666666666,30
Mozambique,"Commerce, Management, Tourism and Services",2.1366666666666667,18
United Arab Emirates,Chemical Sciences,5.4876829268292688,82
Cameroon,Chemical Sciences,1.8149999999999995,20
Sri Lanka,Law and Legal Studies,0.68000000000000016,23
Georgia,Information and Computing Sciences,6.269,10
Lithuania,Philosophy and Religious Studies,2.3562499999999997,16
Luxembourg,Built Environment and Design,5.4272222222222224,18
Slovenia,Environmental Sciences,4.2199999999999989,22
Palestinian Territory,Earth Sciences,2.739,10
Cuba,Engineering,2.9123076923076927,13
Benin,Engineering,2.1975000000000002,4
Lithuania,Mathematical Sciences,1.5645454545454542,22
Thailand,Physical Sciences,9.3816666666666659,12
Haiti,Human Society,12.129999999999999,2
Dominican Republic,Biomedical and Clinical Sciences,2.6632183908045968,87
Comoros,Education,1.1566666666666667,3
Cyprus,Earth Sciences,8.8380851063829766,47
Armenia,"Agricultural, Veterinary and Food Sciences",1.57,6
Fiji,Education,11.391034482758618,29
Philippines,Built Environment and Design,3.2533333333333339,87
Ecuador,Psychology,2.2948648648648651,37
Barbados,Psychology,1.79,1
Jordan,Law and Legal Studies,16.701666666666668,18
Sudan,Biological Sciences,1.83360655737705,61
Guinea-Bissau,Biomedical and Clinical Sciences,9.531,10
Rwanda,"Agricultural, Veterinary and Food Sciences",5.159,10
Mongolia,Earth Sciences,1.661111111111111,9
Georgia,Economics,3.8168965517241387,29
Bhutan,Human Society,2.230909090909091,11
Grenada,Health Sciences,2.30625,16
Ireland,Mathematical Sciences,5.919130434782609,23
Namibia,Economics,4.8000000000000007,7
Kenya,Creative Arts and Writing,1.7579411764705888,34
Kazakhstan,Creative Arts and Writing,7.2702083333333318,48
Portugal,Biomedical and Clinical Sciences,3.8862070116861442,2995
,Creative Arts and Writing,2.5483757990867577,21900
United Kingdom,Environmental Sciences,6.8745964912280639,855
Uzbekistan,Biomedical and Clinical Sciences,0.79896551724137932,145
Portugal,Physical Sciences,18.839473684210525,19
Poland,"History, Heritage and Archaeology",5.0031896551724149,116
Saudi Arabia,Psychology,4.737222222222222,90
Slovenia,Economics,11.898235294117649,51
Belgium,"History, Heritage and Archaeology",3.6718421052631585,38
Mozambique,Education,2.7135555555555562,45
Netherlands,"History, Heritage and Archaeology",5.4763636363636339,99
Thailand,Creative Arts and Writing,5.63090909090909,66
Turkey,"History, Heritage and Archaeology",3.0777777777777784,45
Malta,Creative Arts and Writing,3.4435714285714285,14
Iceland,Built Environment and Design,3.3033333333333332,15
Thailand,Law and Legal Studies,16.307333333333336,30
Ivory Coast,Biological Sciences,2.5394117647058825,17
Kazakhstan,Earth Sciences,4.3519354838709674,31
Malta,Information and Computing Sciences,4.0265384615384612,26
Sierra Leone,Economics,1.147142857142857,7
Bulgaria,Law and Legal Studies,0.93499999999999983,30
Dominican Republic,Built Environment and Design,1.83,4
Venezuela,Health Sciences,18.569642857142856,28
Angola,Education,1.7716666666666665,6
Belarus,Economics,1.0271428571428571,14
Costa Rica,Human Society,2.0498591549295786,71
Democratic Republic of the Congo,Chemical Sciences,2.7242857142857142,7
Bolivia,Biological Sciences,2.8854545454545457,11
Kosovo,"Commerce, Management, Tourism and Services",4.3119354838709665,62
Yemen,Law and Legal Studies,0.0,3
Honduras,Psychology,2.7825,4
Kuwait,Education,8.16126984126984,63
Norfolk Island,"Agricultural, Veterinary and Food Sciences",0.0,5
Sierra Leone,Built Environment and Design,1.8650000000000002,4
Panama,"History, Heritage and Archaeology",2.78,1
Jamaica,Economics,1.0500000000000003,8
Hungary,Philosophy and Religious Studies,8.2228,25
Nepal,Environmental Sciences,5.7394736842105258,38
Algeria,Earth Sciences,3.6552083333333325,48
Serbia,Environmental Sciences,1.8863157894736844,19
Belarus,Mathematical Sciences,3.2185714285714289,7
Central African Republic,Health Sciences,3.4500000000000006,13
Afghanistan,"History, Heritage and Archaeology",7.14,1
Armenia,Biological Sciences,1.5072727272727275,22
Suriname,Law and Legal Studies,0.0,1
Estonia,Law and Legal Studies,7.3258823529411758,17
Eritrea,Biomedical and Clinical Sciences,2.0355555555555553,9
Lebanon,Creative Arts and Writing,12.782307692307693,26
Timor Leste,Creative Arts and Writing,7.785,2
Tanzania,Economics,9.291764705882354,17
Papua New Guinea,Psychology,7.34,1
Senegal,Creative Arts and Writing,0.0,2
Albania,Chemical Sciences,9.105,2
Madagascar,"Commerce, Management, Tourism and Services",0.6825,4
Peru,"History, Heritage and Archaeology",5.0586666666666664,15
Kyrgyzstan,"Commerce, Management, Tourism and Services",1.8735000000000004,20
Uzbekistan,Chemical Sciences,6.2485714285714291,14
French Guiana,Biomedical and Clinical Sciences,3.9245000000000005,40
Georgia,Psychology,3.8240000000000007,10
Colombia,Physical Sciences,5.49,4
Denmark,Mathematical Sciences,3.115,16
Albania,"Agricultural, Veterinary and Food Sciences",1.13,4
Guatemala,"Agricultural, Veterinary and Food Sciences",2.67,3
New Zealand,Physical Sciences,5.9342857142857142,7
Comoros,Biomedical and Clinical Sciences,1.1733333333333333,3
Angola,Biological Sciences,1.49,1
Eswatini,Human Society,4.3422222222222224,9
Mauritius,"Agricultural, Veterinary and Food Sciences",8.5650000000000013,6
Lesotho,Biomedical and Clinical Sciences,4.3409523809523813,21
Guyana,Biomedical and Clinical Sciences,0.9925,12
Bermuda,Health Sciences,3.7164285714285712,14
Sudan,Philosophy and Religious Studies,3.5825,8
Estonia,Health Sciences,3.3801538461538447,65
French Polynesia,Human Society,0.265,2
Iceland,Engineering,8.0466666666666686,6
